source,target,tweet_text,tweet_date
@TucaPinheiroDF,@folha,"Captação de recursos pela Lei Rouanet cai 35%, a maior queda da última década 
@folha
:

https://www1.folha.uol.com.br/ilustrada/2020/07/captacao-de-recursos-pela-lei-rouanet-cai-35-a-maior-queda-da-ultima-decada.shtml?utm_source=twitter&utm_medium=social&utm_campaign=comptw…",2020-07-23T23:33:20.000Z
@Sidrove,@jairbolsonaro,AI que saudade da Lei Rouanet kkkk,2020-08-23T23:58:08.000Z
@Sidrove,@caetanoveloso,AI que saudade da Lei Rouanet kkkk,2020-08-23T23:58:08.000Z
@MaelleRouanet,@NaisGracia,Oh lilou trop belle ta nouvelle photo de profil j’avais pas vu,2020-08-23T23:43:52.000Z
@MaelleRouanet,@lilouparra4,Oh lilou trop belle ta nouvelle photo de profil j’avais pas vu,2020-08-23T23:43:52.000Z
@_RenatoLopes,@jairbolsonaro,"@jairbolsonaro
 , pq será q uma pancada de jornalistas/Artistas estao fazendo a pergunta da Sua Esposa? será que estão revoltadinhos com a  Lei Rouanet? #ficaadica",2020-08-23T23:43:07.000Z
@_RenatoLopes,@ficaadica,"@jairbolsonaro
 , pq será q uma pancada de jornalistas/Artistas estao fazendo a pergunta da Sua Esposa? será que estão revoltadinhos com a  Lei Rouanet? #ficaadica",2020-08-23T23:43:07.000Z
@LeniseLRabelo,@Sylvio33881833,"Olha, só entre nós: não existe lei RAUANET! Existe a Lei Rouanet, desde o Governo Collor, que é para incentivar a CULTURA. A moça é ATLETA e foi beneficiada sim, em 2018, com o programa BOLSA-ATLETA! Não divulgue fake-news, cara! É feio! https://e-farsas.com/jogadora-de-volei-carolina-solberg-recebe-atualmente-dinheiro-do-programa-bolsa-atleta.html…",2020-09-23T23:46:24.000Z
@LeniseLRabelo,@marciosf_Brasil,"Olha, só entre nós: não existe lei RAUANET! Existe a Lei Rouanet, desde o Governo Collor, que é para incentivar a CULTURA. A moça é ATLETA e foi beneficiada sim, em 2018, com o programa BOLSA-ATLETA! Não divulgue fake-news, cara! É feio! https://e-farsas.com/jogadora-de-volei-carolina-solberg-recebe-atualmente-dinheiro-do-programa-bolsa-atleta.html…",2020-09-23T23:46:24.000Z
@LeniseLRabelo,@MubarakLuiza,"Olha, só entre nós: não existe lei RAUANET! Existe a Lei Rouanet, desde o Governo Collor, que é para incentivar a CULTURA. A moça é ATLETA e foi beneficiada sim, em 2018, com o programa BOLSA-ATLETA! Não divulgue fake-news, cara! É feio! https://e-farsas.com/jogadora-de-volei-carolina-solberg-recebe-atualmente-dinheiro-do-programa-bolsa-atleta.html…",2020-09-23T23:46:24.000Z
